table	column	label	nulltype	datatype	structure	description
table	table			table_name	unique	name of this table
table	path			path		path to the TSV file for this table, relative to the table.tsv file
table	type		empty	table_type		type of this table, used for tables with special meanings
table	edit_view		empty	word		the name of a custom view for editing this table
table	description		empty	description		a description of this table
column	table			table_name	from(table.table)	the table that this column belongs to
column	column			column_name		the name of this column
column	label		empty	label		the name of this column
column	nulltype		empty	datatype_name	from(datatype.datatype)	the datatype for NULL values in this column
column	datatype			datatype_name	from(datatype.datatype)	the datatype for this column
column	structure		empty	label		schema information for this column
column	description		empty	description		a description of this column
datatype	datatype			datatype_name	primary	the name of this datatype
datatype	parent		empty	datatype_name	tree(datatype)	the parent datatype
datatype	condition		empty	datatype_condition		
datatype	description		empty	text		a description of this datatype
datatype	SQLite type		empty	sql_type		the SQL type for representing this data in SQLite
datatype	PostgreSQL type		empty	sql_type		the SQL type for representing this data in PostgreSQL
datatype	HTML type		empty	html_type		the HTML type for viewing and editing this data
CCN202204130	cell_set_accession			word	primary	
CCN202204130	cell_type_name			ontology_label		
CCN202204130	parent_cell_set_accession		empty	text		
CCN202204130	synonyms		empty	text		
CCN202204130	synonym_provenance		empty	text		
CCN202204130	classifying_ontology_term_id		empty	autocomplete_cl		
CCN202204130	classifying_ontology_term_name		empty	text		
CCN202204130	classification_provenance		empty	text		
CCN202204130	rank		empty	cell_type		
CCN202204130_config	Source			word	primary	
CCN202204130_config	IRI			IRI		
CCN202204130_config	Intermediates			intermediate_entities		
CCN202204130_config	Predicates			trimmed_line		
CCN202204130_taxonomy	Taxonomy ID			word	primary	
CCN202204130_taxonomy	species_id		empty	text		
CCN202204130_taxonomy	species_name		empty	text		
CCN202204130_taxonomy	brain_region_id		empty	autocomplete_uberon		
CCN202204130_taxonomy	brain_region_name		empty	text		
CCN202204130_taxonomy	assay_id		empty	text		
CCN202204130_taxonomy	assay_name		empty	text		
CCN202204130_taxonomy	Provenance		empty	text		
CCN202204130_cross_taxonomy	cell_set_accession	cell set accession	empty	text		
CCN202204130_cross_taxonomy	cell_type_name	cell type name	empty	text		
CCN202204130_cross_taxonomy	mapped_cell_set_accession	mapped cell set accession	empty	text		
CCN202204130_cross_taxonomy	mapped_cell_type_name	mapped cell type name	empty	trimmed_line		
CCN202204130_cross_taxonomy	evidence_comment	evidence comment	empty	text		
CCN202204130_cross_taxonomy	similarity_score	similarity score	empty	trimmed_line		
CCN202204130_cross_taxonomy	provenance		empty	text		
CCN202204130_location_mapping	cell_set_accession			word	primary	
CCN202204130_location_mapping	cell_type_name			ontology_label		
CCN202204130_location_mapping	location_ontology_term_id			autocomplete_uberon		
CCN202204130_location_mapping	location_ontology_term_name			trimmed_line		
CCN202204130_location_mapping	evidence_comment			text		
CCN202204130_location_mapping	supporting_data			text		
CCN202204130_location_mapping	provenance			trimmed_line		
